עשה;375
לך;50
תבת;802
עצי;170
גפר;283
קנים;200
תעשה;775
את;401
התבה;412
וכפרת;706
אתה;406
מבית;452
ומחוץ;150
בכפר;302
וזה;18
אשר;501
תעשה;775
אתה;406
שלש;630
מאות;447
אמה;46
ארך;221
התבה;412
חמשים;398
אמה;46
רחבה;215
ושלשים;686
אמה;46
קומתה;551
צהר;295
תעשה;775
לתבה;437
ואל;37
אמה;46
תכלנה;505
מלמעלה;215
ופתח;494
התבה;412
בצדה;101
תשים;750
תחתים;858
שנים;400
ושלשים;686
תעשה;775
ואני;67
הנני;115
מביא;53
את;401
המבול;83
מים;90
על;100
הארץ;296
לשחת;738
כל;50
בשר;502
אשר;501
בו;8
רוח;214
חיים;68
מתחת;848
השמים;395
כל;50
אשר;501
בארץ;293
יגוע;89
והקמתי;561
את;401
בריתי;622
אתך;421
ובאת;409
אל;31
התבה;412
אתה;406
ובניך;88
ואשתך;727
ונשי;366
בניך;82
אתך;421
ומכל;96
החי;23
מכל;90
בשר;502
שנים;400
מכל;90
תביא;413
אל;31
התבה;412
להחית;453
אתך;421
זכר;227
ונקבה;163
יהיו;31
מהעוף;201
למינהו;141
ומן;96
הבהמה;57
למינה;135
מכל;90
רמש;540
האדמה;55
למינהו;141
שנים;400
מכל;90
יבאו;19
אליך;61
להחיות;459
ואתה;412
קח;108
לך;50
מכל;90
מאכל;91
אשר;501
יאכל;61
ואספת;547
אליך;61
והיה;26
לך;50
ולהם;81
לאכלה;86
ויעש;386
נח;58
ככל;70
אשר;501
צוה;101
אתו;407
אלהים;86
כן;70
עשה;375
ויאמר;257
יהוה;26
לנח;88
בא;3
אתה;406
וכל;56
ביתך;432
אל;31
התבה;412
כי;30
אתך;421
ראיתי;621
צדיק;204
לפני;170
בדור;212
הזה;17
מכל;90
הבהמה;57
הטהורה;230
תקח;508
לך;50
שבעה;377
שבעה;377
איש;311
ואשתו;713
ומן;96
הבהמה;57
אשר;501
לא;31
טהרה;219
הוא;12
שנים;400
איש;311
ואשתו;713
גם;43
מעוף;196
השמים;395
שבעה;377
שבעה;377
זכר;227
ונקבה;163
לחיות;454
זרע;277
על;100
פני;140
כל;50
הארץ;296
כי;30
לימים;130
עוד;80
שבעה;377
אנכי;81
ממטיר;299
על;100
הארץ;296
ארבעים;323
יום;56
וארבעים;329
לילה;75
ומחיתי;474
את;401
כל;50
היקום;161
אשר;501
עשיתי;790
מעל;140
פני;140
האדמה;55
ויעש;386
נח;58
ככל;70
אשר;501
צוהו;107
יהוה;26
ונח;64
בן;52
שש;600
מאות;447
שנה;355
והמבול;89
היה;20
מים;90
על;100
הארץ;296
ויבא;19
נח;58
ובניו;74
ואשתו;713
ונשי;366
בניו;68
אתו;407
אל;31
התבה;412
